Artist	Digital Painting and Drawing	What feature in Adobe Photoshop is best for removing a background?	 Magic Wand Tool	x
			 Lasso Tool	
			 Gradient Tool	
			 Brush Tool	
		Which of the following is not a primary function of Adobe Illustrator?	 Vector graphic creation	
			 Photo editing	x
			 Logo design	
			 Typography design	
		When creating digital art, what is the purpose of using layers?	 To change the image size	
			 To organize different elements of the artwork separately	x
			 To add filters to the entire artwork at once	
			 To reduce the file size	
		Which tool would you use to create a seamless pattern in Photoshop?	 Blur Tool	
			 Pen Tool	
			 Clone Stamp Tool	x
			 Eraser Tool	
		What is the best practice for optimizing digital artwork for different platforms?	 Using the highest resolution possible	
			 Creating artwork in black and white	
			 Using a limited color palette	
			 Adjusting the resolution and file format based on the platform's requirements	x
	3D Modeling and Animation	Which software is widely used for 3D modeling and animation in the gaming industry?	 Adobe Photoshop	
			 Autodesk Maya	x
			 Adobe Illustrator	
			 Microsoft Paint	
		What is the process of preparing a 3D model for animation called?	 Texturing	
			 Rigging	x
			 Rendering	
			 Sculpting	
		Which of the following is a technique used to show textures on 3D models?	 Motion capture	
			 UV mapping	x
			 Keyframing	
			 Vector drawing	
		In 3D animation, what is 'inverse kinematics' used for?	 Creating realistic lighting effects	
			 Simulating cloth and hair dynamics	
			 Manipulating character joints for natural movement	x
			 Generating 3D models from 2D images	
		How can 3D models be optimized for better performance in games?	 Increasing the polygon count	
			 Using higher-resolution textures	
			 Reducing the number of textures	
			 Decreasing the polygon count and using efficient textures	x
	Texturing	What tool is essential for creating highly detailed textures for 3D models?	 ZBrush	
			 Substance Painter	x
			 Unity	
			 Adobe InDesign	
		Which of the following is not a common technique in digital texturing?	 Baking	
			 Layering	
			 Drafting	x
			 Blending	
		In the context of texturing, what does UV mapping refer to?	 A process to create the texture coordinates of a 3D model	x
			 A technique to improve the lighting in textures	
			 A method to increase the resolution of textures	
			 A tool to generate automatic textures	
		What is the primary purpose of a normal map in texturing?	 To create a bump effect without increasing the polygon count	x
			 To change the color of the texture	
			 To decrease the file size of the texture	
			 To increase the rendering speed of textures	
		How do you achieve a worn-out look on a texture in Substance Painter?	 By using the Fill Layer	
			 By applying a High Pass filter	
			 By adding a Smart Material with wear and tear effects	x
			 By increasing the texture resolution	
	Sculpting	Which of the following tools is primarily used for digital sculpting?	 Autodesk 3ds Max	
			 Adobe After Effects	
			 Pixologic ZBrush	x
			 Adobe Premiere Pro	
		What is the main advantage of using digital sculpting in game art creation?	 It allows for real-time collaboration	
				x
			 It automatically optimizes models for game engines	
			 It simplifies the texturing process	
		In ZBrush, what feature allows you to create a symmetrical model efficiently?	 DynaMesh	
			 ZSphere	
			 Symmetry Mode	x
			 ShadowBox	
		How do you reduce the polygon count of a sculpt in ZBrush while maintaining detail?	 It enables the creation of high-detail models	x
			 Applying a Gaussian Blur filter	
			 Increasing the ZIntensity	
			 Decreasing the brush size	
		What is the purpose of the 'Subdivision Levels' feature in ZBrush?	 To add more detail to the texture	
			 To create animations within ZBrush	
			 To modify the lighting of the sculpt	
			 To smoothly transition between different levels of mesh detail	x
	Knowledge of Game Engines	Which game engine is known for its Blueprint visual scripting system?	 Unity	
			 Unreal Engine	x
			 Godot	
			 CryEngine	
		In Unity, how can you optimize the performance of your game's art assets?	 By using high-resolution textures exclusively	
			 By increasing the number of light sources	
			 By batching static objects	x
			 By disabling physics simulations	
		What feature in Unreal Engine is used to create realistic environmental interactions, like wind moving through trees?	 Particle System	
			 Physics Engine	
			 Niagara System	x
			 Landscape Editor	
		In game development, what is the primary function of a Shader?	 To optimize game code	
			 To control the game's AI	
			 To dictate how surfaces appear under lighting	x
			 To manage the game's inventory system	
		Which of the following is a key consideration when importing 3D models into Unity?	 Ensuring all models are in the .unity format	
			 Applying all textures in Photoshop before importing	
			 Setting the correct import settings for scale, normals, and materials	x
			 Converting all models to 2D sprites	
Game Design		In game design, what does the term "game mechanics" refer to?	 The physical components of a video game console	
	Game Mechanics		 The rules and systems that govern gameplay	x
			 The storyline and characters in a game	
			 The graphical assets used in a game	
		What is the primary purpose of implementing a health bar in a game?	 To display the player's level	
			 To track the player's score	
			 To show the player's remaining life or hit points	x
			 To provide hints and tips to the player	
		What game mechanic is commonly used to reward players for achieving specific goals or milestones?	 Power-ups	x
			 Cutscenes	
			 Quick time events	
			 Tutorial levels	
		Which game mechanic involves presenting players with a series of choices that affect the game's outcome?	 Random encounters	
			 Dialogue trees	x
			 Achievements	
			 Inventory management	
		What is the purpose of a "respawn" mechanic in a game?	 To create challenge and difficulty	
			 To pause the game temporarily	
			 To transition between levels	
			 To allow players to re-enter the game after losing	x
	Level Design	What is the primary goal of level design in a game?	 To create visually stunning environments	
			 To provide a linear path from start to finish	
			 To challenge and engage the player	x
			 To tell a compelling story	
		Which level design element is crucial for guiding players through a game's world?	 Collectibles	
			 Obstacles	
			 Waypoints	x
			 Power-ups	
		What level design technique involves gradually introducing gameplay mechanics to the player?	 Sandbox design	
			 Trial and error	
			 Progressive disclosure	x
			 Labyrinth design	
		In platformer games, what purpose do "checkpoints" serve in level design?	 To display the player's score	
			 To mark the start of a new level	
			 To allow the player to resume from a specific point after failing	x
			 To trigger cutscenes	
		Which level design approach focuses on giving players freedom to explore and interact with the game world?	 Linear level design	
			 Open-world design	x
			 Puzzle-based design	
			 Endless runner design	
	Narrative Design	What is the role of a "narrative designer" in game development?	 Creating 3D character models	
			 Writing the game's code	
			 Crafting the game's story, dialogues, and lore	x
			 Designing game mechanics	
		Which narrative design element is responsible for conveying the backstory and world-building in a game?	 Dialogue trees	
			 Character development	
			 Exposition	x
			 Cutscenes	
		What is the primary purpose of branching narrative paths in a game's story?	 To increase the game's graphics quality	
			 To create alternate game endings	x
			 To add extra challenges for players	
			 To optimize game performance	
		In narrative design, what is the term for the choices given to the player that impact the direction of the story?	 Plot twists	
			 Consequences	x
			 Easter eggs	
			 Random events	
		Which narrative design element provides players with additional information about the game world or characters?	 Flashbacks	
			 Jump scares	
			 Boss battles	
			 Collectibles	x
