Artist	Digital Painting and Drawing	How do you manage layers and blending modes when creating complex compositions in Photoshop?
		Describe your process for creating a digital character concept from sketch to final rendering.
		What techniques do you use to ensure your digital paintings are optimized for different platforms (e.g., mobile, PC)?
		How do you incorporate feedback into your digital artwork revisions?
		Explain how you maintain consistent lighting and perspective across varied scenes in a game.
	3D Modeling and Animation	Describe your workflow for creating a 3D model from concept art to final textured model.
		How do you optimize 3D models for performance in game engines without compromising visual quality?
		Explain your approach to rigging a character for animation. What are key considerations to ensure realistic movement?
		How do you integrate 3D animations with game physics engines to achieve realistic interactions?
		Discuss a complex animation challenge you've faced and how you resolved it.
	Texturing	Explain the process of creating a seamless texture for a game environment.
		How do you use Substance Painter to add wear and tear to a texture for added realism?
		Describe how you manage texture resolutions and file sizes for performance optimization.
		What strategies do you use to ensure textures look consistent across different lighting conditions in a game?
		Discuss how you create and implement normal maps to enhance the detail of a low-poly model.
	Sculpting	Describe your process for creating a high-detail character sculpt in ZBrush.
		How do you efficiently manage your sculpt's topology for game readiness?
		What techniques do you use to ensure your sculpts are anatomically correct and realistic?
		Explain how you incorporate hard surface sculpting in organic models.
		Discuss how you optimize high-poly sculpts for use in game environments.
	Knowledge of Game Engines	How do you import and manage art assets in Unity or Unreal Engine for optimal performance?
		Describe the process of creating and applying materials and shaders in a game engine.
		What is your approach to troubleshooting visual artifacts in game engines?
		How do you optimize scene lighting for both performance and visual quality in a game engine?
		Discuss how you collaborate with programmers to integrate complex art assets into a game.
Game Design	Game Mechanics	Describe the process of designing a unique game mechanic. How do you test and refine it?
		How do you balance game mechanics to ensure they are fun yet challenging?
		Explain how you adapt existing mechanics to fit the theme and goals of a new game.
		Discuss a mechanic you designed that did not work as expected. How did you identify the issue and address it?
		How do you incorporate player feedback into the development of game mechanics?
	Level Design	Describe your process for creating a level from concept to playable prototype.
		How do you use level design tools to iterate on player feedback?
		Explain how you incorporate pacing and narrative elements into level design.
		Discuss a level you designed that was particularly successful or challenging. What made it so?
		How do you ensure levels are accessible to all players, including those with disabilities?
	Narrative Design	
	Playtesting	Explain how you use data analysis to inform game design decisions.
		Describe a scenario where data analysis led to a significant change in game design or mechanics.
		How do you collect and interpret player behavior data?
		Discuss how you balance qualitative feedback with quantitative data in your design process.
		How do you ensure data privacy and ethical considerations when analyzing player data?
Producer	Project Management Tools	Describe how you set up a project in JIRA, including creating sprints, tasks, and tracking progress.
		How do you use Trello or similar tools to facilitate communication and task management among remote teams?
		Explain how you measure project progress and performance using Microsoft Project.
		Discuss a scenario where you had to adapt your project management approach due to unforeseen challenges.
		How do you integrate user feedback into the project lifecycle using project management tools?
	Budgeting and Financial Software	Describe the process of creating and managing a game development budget.
		How do you forecast financial needs for a project, including contingencies?
		Explain how you track actual spending against the budget.
